output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__81 0.5 -0.5 -1 0.5
code__a__82 0.5 -0.5 0 0.5
code__a__83 0.5 -0.5 1 0.5
code__a__84 0.5 0.5 -1 0.5
code__a__85 0.5 0.5 0 0.5
code__a__86 0.5 0.5 1 0.5
code__a__87 0.5 -0.5 -1 1
code__a__88 0.5 -0.5 0 1
code__a__89 0.5 -0.5 1 1
code__a__90 0.5 0.5 -1 1
code__a__91 0.5 0.5 0 1
code__a__92 0.5 0.5 1 1
code__a__93 0.5 -0.5 -1 1.5
code__a__94 0.5 -0.5 0 1.5
code__a__95 0.5 -0.5 1 1.5
code__a__96 0.5 0.5 -1 1.5
code__a__97 0.5 0.5 0 1.5
code__a__98 0.5 0.5 1 1.5
code__a__99 1 -0.5 -1 0.5
code__a__100 1 -0.5 0 0.5
code__a__101 1 -0.5 1 0.5
code__a__102 1 0.5 -1 0.5
code__a__103 1 0.5 0 0.5
code__a__104 1 0.5 1 0.5
code__a__105 1 -0.5 -1 1
code__a__106 1 -0.5 0 1
code__a__107 1 -0.5 1 1
code__a__108 1 0.5 -1 1
code__a__109 1 0.5 0 1
code__a__110 1 0.5 1 1
code__a__111 1 -0.5 -1 1.5
code__a__112 1 -0.5 0 1.5
code__a__113 1 -0.5 1 1.5
code__a__114 1 0.5 -1 1.5
code__a__115 1 0.5 0 1.5
code__a__116 1 0.5 1 1.5
code__a__117 1.5 -0.5 -1 0.5
code__a__118 1.5 -0.5 0 0.5
code__a__119 1.5 -0.5 1 0.5
code__a__120 1.5 0.5 -1 0.5
code__a__121 1.5 0.5 0 0.5
code__a__122 1.5 0.5 1 0.5
code__a__123 1.5 -0.5 -1 1
code__a__124 1.5 -0.5 0 1
code__a__125 1.5 -0.5 1 1
code__a__126 1.5 0.5 -1 1
code__a__127 1.5 0.5 0 1
code__a__128 1.5 0.5 1 1
code__a__129 1.5 -0.5 -1 1.5
code__a__130 1.5 -0.5 0 1.5
code__a__131 1.5 -0.5 1 1.5
code__a__132 1.5 0.5 -1 1.5
code__a__133 1.5 0.5 0 1.5
code__a__134 1.5 0.5 1 1.5
