output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__675 0.5 -1 -1 0.625
code__a__676 0.5 -1 -0.5 0.625
code__a__677 0.5 -1 0 0.625
code__a__678 0.5 -1 0.5 0.625
code__a__679 0.5 -1 1 0.625
code__a__680 0.5 -0.75 -1 0.625
code__a__681 0.5 -0.75 -0.5 0.625
code__a__682 0.5 -0.75 0 0.625
code__a__683 0.5 -0.75 0.5 0.625
code__a__684 0.5 -0.75 1 0.625
code__a__685 0.5 -0.5 -1 0.625
code__a__686 0.5 -0.5 -0.5 0.625
code__a__687 0.5 -0.5 0 0.625
code__a__688 0.5 -0.5 0.5 0.625
code__a__689 0.5 -0.5 1 0.625
code__a__690 0.5 -0.25 -1 0.625
code__a__691 0.5 -0.25 -0.5 0.625
code__a__692 0.5 -0.25 0 0.625
code__a__693 0.5 -0.25 0.5 0.625
code__a__694 0.5 -0.25 1 0.625
code__a__695 0.5 0 -1 0.625
code__a__696 0.5 0 -0.5 0.625
code__a__697 0.5 0 0 0.625
code__a__698 0.5 0 0.5 0.625
code__a__699 0.5 0 1 0.625
code__a__700 0.5 0.25 -1 0.625
code__a__701 0.5 0.25 -0.5 0.625
code__a__702 0.5 0.25 0 0.625
code__a__703 0.5 0.25 0.5 0.625
code__a__704 0.5 0.25 1 0.625
code__a__705 0.5 0.5 -1 0.625
code__a__706 0.5 0.5 -0.5 0.625
code__a__707 0.5 0.5 0 0.625
code__a__708 0.5 0.5 0.5 0.625
code__a__709 0.5 0.5 1 0.625
code__a__710 0.5 0.75 -1 0.625
code__a__711 0.5 0.75 -0.5 0.625
code__a__712 0.5 0.75 0 0.625
code__a__713 0.5 0.75 0.5 0.625
code__a__714 0.5 0.75 1 0.625
code__a__715 0.5 1 -1 0.625
code__a__716 0.5 1 -0.5 0.625
code__a__717 0.5 1 0 0.625
code__a__718 0.5 1 0.5 0.625
code__a__719 0.5 1 1 0.625
code__a__720 0.5 -1 -1 0.875
code__a__721 0.5 -1 -0.5 0.875
code__a__722 0.5 -1 0 0.875
code__a__723 0.5 -1 0.5 0.875
code__a__724 0.5 -1 1 0.875
code__a__725 0.5 -0.75 -1 0.875
code__a__726 0.5 -0.75 -0.5 0.875
code__a__727 0.5 -0.75 0 0.875
code__a__728 0.5 -0.75 0.5 0.875
code__a__729 0.5 -0.75 1 0.875
code__a__730 0.5 -0.5 -1 0.875
code__a__731 0.5 -0.5 -0.5 0.875
code__a__732 0.5 -0.5 0 0.875
code__a__733 0.5 -0.5 0.5 0.875
code__a__734 0.5 -0.5 1 0.875
code__a__735 0.5 -0.25 -1 0.875
code__a__736 0.5 -0.25 -0.5 0.875
code__a__737 0.5 -0.25 0 0.875
code__a__738 0.5 -0.25 0.5 0.875
code__a__739 0.5 -0.25 1 0.875
code__a__740 0.5 0 -1 0.875
code__a__741 0.5 0 -0.5 0.875
code__a__742 0.5 0 0 0.875
code__a__743 0.5 0 0.5 0.875
code__a__744 0.5 0 1 0.875
code__a__745 0.5 0.25 -1 0.875
code__a__746 0.5 0.25 -0.5 0.875
code__a__747 0.5 0.25 0 0.875
code__a__748 0.5 0.25 0.5 0.875
code__a__749 0.5 0.25 1 0.875
code__a__750 0.5 0.5 -1 0.875
code__a__751 0.5 0.5 -0.5 0.875
code__a__752 0.5 0.5 0 0.875
code__a__753 0.5 0.5 0.5 0.875
code__a__754 0.5 0.5 1 0.875
code__a__755 0.5 0.75 -1 0.875
code__a__756 0.5 0.75 -0.5 0.875
code__a__757 0.5 0.75 0 0.875
code__a__758 0.5 0.75 0.5 0.875
code__a__759 0.5 0.75 1 0.875
code__a__760 0.5 1 -1 0.875
code__a__761 0.5 1 -0.5 0.875
code__a__762 0.5 1 0 0.875
code__a__763 0.5 1 0.5 0.875
code__a__764 0.5 1 1 0.875
code__a__765 0.5 -1 -1 1.125
code__a__766 0.5 -1 -0.5 1.125
code__a__767 0.5 -1 0 1.125
code__a__768 0.5 -1 0.5 1.125
code__a__769 0.5 -1 1 1.125
code__a__770 0.5 -0.75 -1 1.125
code__a__771 0.5 -0.75 -0.5 1.125
code__a__772 0.5 -0.75 0 1.125
code__a__773 0.5 -0.75 0.5 1.125
code__a__774 0.5 -0.75 1 1.125
code__a__775 0.5 -0.5 -1 1.125
code__a__776 0.5 -0.5 -0.5 1.125
code__a__777 0.5 -0.5 0 1.125
code__a__778 0.5 -0.5 0.5 1.125
code__a__779 0.5 -0.5 1 1.125
code__a__780 0.5 -0.25 -1 1.125
code__a__781 0.5 -0.25 -0.5 1.125
code__a__782 0.5 -0.25 0 1.125
code__a__783 0.5 -0.25 0.5 1.125
code__a__784 0.5 -0.25 1 1.125
code__a__785 0.5 0 -1 1.125
code__a__786 0.5 0 -0.5 1.125
code__a__787 0.5 0 0 1.125
code__a__788 0.5 0 0.5 1.125
code__a__789 0.5 0 1 1.125
code__a__790 0.5 0.25 -1 1.125
code__a__791 0.5 0.25 -0.5 1.125
code__a__792 0.5 0.25 0 1.125
code__a__793 0.5 0.25 0.5 1.125
code__a__794 0.5 0.25 1 1.125
code__a__795 0.5 0.5 -1 1.125
code__a__796 0.5 0.5 -0.5 1.125
code__a__797 0.5 0.5 0 1.125
code__a__798 0.5 0.5 0.5 1.125
code__a__799 0.5 0.5 1 1.125
code__a__800 0.5 0.75 -1 1.125
