output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap degree_day_factor
code__a__75 0.5 -0.5 -1 1 0.5
code__a__76 0.5 -0.5 -1 1 1
code__a__77 0.5 -0.5 -1 1 1.5
code__a__78 0.5 -0.5 -0.5 1 0.5
code__a__79 0.5 -0.5 -0.5 1 1
code__a__80 0.5 -0.5 -0.5 1 1.5
code__a__81 0.5 -0.5 0 1 0.5
code__a__82 0.5 -0.5 0 1 1
code__a__83 0.5 -0.5 0 1 1.5
code__a__84 0.5 -0.5 0.5 1 0.5
code__a__85 0.5 -0.5 0.5 1 1
code__a__86 0.5 -0.5 0.5 1 1.5
code__a__87 0.5 -0.5 1 1 0.5
code__a__88 0.5 -0.5 1 1 1
code__a__89 0.5 -0.5 1 1 1.5
code__a__90 0.5 -0.25 -1 1 0.5
code__a__91 0.5 -0.25 -1 1 1
code__a__92 0.5 -0.25 -1 1 1.5
code__a__93 0.5 -0.25 -0.5 1 0.5
code__a__94 0.5 -0.25 -0.5 1 1
code__a__95 0.5 -0.25 -0.5 1 1.5
code__a__96 0.5 -0.25 0 1 0.5
code__a__97 0.5 -0.25 0 1 1
code__a__98 0.5 -0.25 0 1 1.5
code__a__99 0.5 -0.25 0.5 1 0.5
code__a__100 0.5 -0.25 0.5 1 1
code__a__101 0.5 -0.25 0.5 1 1.5
code__a__102 0.5 -0.25 1 1 0.5
code__a__103 0.5 -0.25 1 1 1
code__a__104 0.5 -0.25 1 1 1.5
code__a__105 0.5 0 -1 1 0.5
code__a__106 0.5 0 -1 1 1
code__a__107 0.5 0 -1 1 1.5
code__a__108 0.5 0 -0.5 1 0.5
code__a__109 0.5 0 -0.5 1 1
code__a__110 0.5 0 -0.5 1 1.5
code__a__111 0.5 0 0 1 0.5
code__a__112 0.5 0 0 1 1
code__a__113 0.5 0 0 1 1.5
code__a__114 0.5 0 0.5 1 0.5
code__a__115 0.5 0 0.5 1 1
code__a__116 0.5 0 0.5 1 1.5
code__a__117 0.5 0 1 1 0.5
code__a__118 0.5 0 1 1 1
code__a__119 0.5 0 1 1 1.5
code__a__120 0.5 0.25 -1 1 0.5
code__a__121 0.5 0.25 -1 1 1
code__a__122 0.5 0.25 -1 1 1.5
code__a__123 0.5 0.25 -0.5 1 0.5
code__a__124 0.5 0.25 -0.5 1 1
code__a__125 0.5 0.25 -0.5 1 1.5
code__a__126 0.5 0.25 0 1 0.5
code__a__127 0.5 0.25 0 1 1
code__a__128 0.5 0.25 0 1 1.5
code__a__129 0.5 0.25 0.5 1 0.5
code__a__130 0.5 0.25 0.5 1 1
code__a__131 0.5 0.25 0.5 1 1.5
code__a__132 0.5 0.25 1 1 0.5
code__a__133 0.5 0.25 1 1 1
code__a__134 0.5 0.25 1 1 1.5
code__a__135 0.5 0.5 -1 1 0.5
code__a__136 0.5 0.5 -1 1 1
code__a__137 0.5 0.5 -1 1 1.5
code__a__138 0.5 0.5 -0.5 1 0.5
code__a__139 0.5 0.5 -0.5 1 1
code__a__140 0.5 0.5 -0.5 1 1.5
code__a__141 0.5 0.5 0 1 0.5
code__a__142 0.5 0.5 0 1 1
code__a__143 0.5 0.5 0 1 1.5
code__a__144 0.5 0.5 0.5 1 0.5
code__a__145 0.5 0.5 0.5 1 1
code__a__146 0.5 0.5 0.5 1 1.5
code__a__147 0.5 0.5 1 1 0.5
code__a__148 0.5 0.5 1 1 1
code__a__149 0.5 0.5 1 1 1.5
code__a__150 1.5 -0.5 -1 1 0.5
code__a__151 1.5 -0.5 -1 1 1
code__a__152 1.5 -0.5 -1 1 1.5
code__a__153 1.5 -0.5 -0.5 1 0.5
code__a__154 1.5 -0.5 -0.5 1 1
code__a__155 1.5 -0.5 -0.5 1 1.5
code__a__156 1.5 -0.5 0 1 0.5
code__a__157 1.5 -0.5 0 1 1
code__a__158 1.5 -0.5 0 1 1.5
code__a__159 1.5 -0.5 0.5 1 0.5
code__a__160 1.5 -0.5 0.5 1 1
code__a__161 1.5 -0.5 0.5 1 1.5
code__a__162 1.5 -0.5 1 1 0.5
code__a__163 1.5 -0.5 1 1 1
code__a__164 1.5 -0.5 1 1 1.5
code__a__165 1.5 -0.25 -1 1 0.5
code__a__166 1.5 -0.25 -1 1 1
code__a__167 1.5 -0.25 -1 1 1.5
code__a__168 1.5 -0.25 -0.5 1 0.5
code__a__169 1.5 -0.25 -0.5 1 1
code__a__170 1.5 -0.25 -0.5 1 1.5
code__a__171 1.5 -0.25 0 1 0.5
code__a__172 1.5 -0.25 0 1 1
code__a__173 1.5 -0.25 0 1 1.5
code__a__174 1.5 -0.25 0.5 1 0.5
code__a__175 1.5 -0.25 0.5 1 1
code__a__176 1.5 -0.25 0.5 1 1.5
code__a__177 1.5 -0.25 1 1 0.5
code__a__178 1.5 -0.25 1 1 1
code__a__179 1.5 -0.25 1 1 1.5
code__a__180 1.5 0 -1 1 0.5
code__a__181 1.5 0 -1 1 1
code__a__182 1.5 0 -1 1 1.5
code__a__183 1.5 0 -0.5 1 0.5
code__a__184 1.5 0 -0.5 1 1
code__a__185 1.5 0 -0.5 1 1.5
code__a__186 1.5 0 0 1 0.5
code__a__187 1.5 0 0 1 1
code__a__188 1.5 0 0 1 1.5
code__a__189 1.5 0 0.5 1 0.5
code__a__190 1.5 0 0.5 1 1
code__a__191 1.5 0 0.5 1 1.5
code__a__192 1.5 0 1 1 0.5
code__a__193 1.5 0 1 1 1
code__a__194 1.5 0 1 1 1.5
code__a__195 1.5 0.25 -1 1 0.5
code__a__196 1.5 0.25 -1 1 1
code__a__197 1.5 0.25 -1 1 1.5
code__a__198 1.5 0.25 -0.5 1 0.5
code__a__199 1.5 0.25 -0.5 1 1
code__a__200 1.5 0.25 -0.5 1 1.5
code__a__201 1.5 0.25 0 1 0.5
code__a__202 1.5 0.25 0 1 1
code__a__203 1.5 0.25 0 1 1.5
code__a__204 1.5 0.25 0.5 1 0.5
code__a__205 1.5 0.25 0.5 1 1
code__a__206 1.5 0.25 0.5 1 1.5
code__a__207 1.5 0.25 1 1 0.5
code__a__208 1.5 0.25 1 1 1
code__a__209 1.5 0.25 1 1 1.5
code__a__210 1.5 0.5 -1 1 0.5
code__a__211 1.5 0.5 -1 1 1
code__a__212 1.5 0.5 -1 1 1.5
code__a__213 1.5 0.5 -0.5 1 0.5
code__a__214 1.5 0.5 -0.5 1 1
code__a__215 1.5 0.5 -0.5 1 1.5
code__a__216 1.5 0.5 0 1 0.5
code__a__217 1.5 0.5 0 1 1
code__a__218 1.5 0.5 0 1 1.5
