output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap degree_day_factor
code__a__225 0.5 -0.5 -1 0.75 0.5
code__a__226 0.5 -0.5 -1 0.75 1
code__a__227 0.5 -0.5 -1 0.75 1.5
code__a__228 0.5 -0.5 -1 1.25 0.5
code__a__229 0.5 -0.5 -1 1.25 1
code__a__230 0.5 -0.5 -1 1.25 1.5
code__a__231 0.5 -0.5 -0.5 0.75 0.5
code__a__232 0.5 -0.5 -0.5 0.75 1
code__a__233 0.5 -0.5 -0.5 0.75 1.5
code__a__234 0.5 -0.5 -0.5 1.25 0.5
code__a__235 0.5 -0.5 -0.5 1.25 1
code__a__236 0.5 -0.5 -0.5 1.25 1.5
code__a__237 0.5 -0.5 0 0.75 0.5
code__a__238 0.5 -0.5 0 0.75 1
code__a__239 0.5 -0.5 0 0.75 1.5
code__a__240 0.5 -0.5 0 1.25 0.5
code__a__241 0.5 -0.5 0 1.25 1
code__a__242 0.5 -0.5 0 1.25 1.5
code__a__243 0.5 -0.5 0.5 0.75 0.5
code__a__244 0.5 -0.5 0.5 0.75 1
code__a__245 0.5 -0.5 0.5 0.75 1.5
code__a__246 0.5 -0.5 0.5 1.25 0.5
code__a__247 0.5 -0.5 0.5 1.25 1
code__a__248 0.5 -0.5 0.5 1.25 1.5
code__a__249 0.5 -0.5 1 0.75 0.5
code__a__250 0.5 -0.5 1 0.75 1
code__a__251 0.5 -0.5 1 0.75 1.5
code__a__252 0.5 -0.5 1 1.25 0.5
code__a__253 0.5 -0.5 1 1.25 1
code__a__254 0.5 -0.5 1 1.25 1.5
code__a__255 0.5 -0.25 -1 0.75 0.5
code__a__256 0.5 -0.25 -1 0.75 1
code__a__257 0.5 -0.25 -1 0.75 1.5
code__a__258 0.5 -0.25 -1 1.25 0.5
code__a__259 0.5 -0.25 -1 1.25 1
code__a__260 0.5 -0.25 -1 1.25 1.5
code__a__261 0.5 -0.25 -0.5 0.75 0.5
code__a__262 0.5 -0.25 -0.5 0.75 1
code__a__263 0.5 -0.25 -0.5 0.75 1.5
code__a__264 0.5 -0.25 -0.5 1.25 0.5
code__a__265 0.5 -0.25 -0.5 1.25 1
code__a__266 0.5 -0.25 -0.5 1.25 1.5
code__a__267 0.5 -0.25 0 0.75 0.5
code__a__268 0.5 -0.25 0 0.75 1
code__a__269 0.5 -0.25 0 0.75 1.5
code__a__270 0.5 -0.25 0 1.25 0.5
code__a__271 0.5 -0.25 0 1.25 1
code__a__272 0.5 -0.25 0 1.25 1.5
code__a__273 0.5 -0.25 0.5 0.75 0.5
code__a__274 0.5 -0.25 0.5 0.75 1
code__a__275 0.5 -0.25 0.5 0.75 1.5
code__a__276 0.5 -0.25 0.5 1.25 0.5
code__a__277 0.5 -0.25 0.5 1.25 1
code__a__278 0.5 -0.25 0.5 1.25 1.5
code__a__279 0.5 -0.25 1 0.75 0.5
code__a__280 0.5 -0.25 1 0.75 1
code__a__281 0.5 -0.25 1 0.75 1.5
code__a__282 0.5 -0.25 1 1.25 0.5
code__a__283 0.5 -0.25 1 1.25 1
code__a__284 0.5 -0.25 1 1.25 1.5
code__a__285 0.5 0 -1 0.75 0.5
code__a__286 0.5 0 -1 0.75 1
code__a__287 0.5 0 -1 0.75 1.5
code__a__288 0.5 0 -1 1.25 0.5
code__a__289 0.5 0 -1 1.25 1
code__a__290 0.5 0 -1 1.25 1.5
code__a__291 0.5 0 -0.5 0.75 0.5
code__a__292 0.5 0 -0.5 0.75 1
code__a__293 0.5 0 -0.5 0.75 1.5
code__a__294 0.5 0 -0.5 1.25 0.5
code__a__295 0.5 0 -0.5 1.25 1
code__a__296 0.5 0 -0.5 1.25 1.5
code__a__297 0.5 0 0 0.75 0.5
code__a__298 0.5 0 0 0.75 1
code__a__299 0.5 0 0 0.75 1.5
code__a__300 0.5 0 0 1.25 0.5
code__a__301 0.5 0 0 1.25 1
code__a__302 0.5 0 0 1.25 1.5
code__a__303 0.5 0 0.5 0.75 0.5
code__a__304 0.5 0 0.5 0.75 1
code__a__305 0.5 0 0.5 0.75 1.5
code__a__306 0.5 0 0.5 1.25 0.5
code__a__307 0.5 0 0.5 1.25 1
code__a__308 0.5 0 0.5 1.25 1.5
code__a__309 0.5 0 1 0.75 0.5
code__a__310 0.5 0 1 0.75 1
code__a__311 0.5 0 1 0.75 1.5
code__a__312 0.5 0 1 1.25 0.5
code__a__313 0.5 0 1 1.25 1
code__a__314 0.5 0 1 1.25 1.5
code__a__315 0.5 0.25 -1 0.75 0.5
code__a__316 0.5 0.25 -1 0.75 1
code__a__317 0.5 0.25 -1 0.75 1.5
code__a__318 0.5 0.25 -1 1.25 0.5
code__a__319 0.5 0.25 -1 1.25 1
code__a__320 0.5 0.25 -1 1.25 1.5
code__a__321 0.5 0.25 -0.5 0.75 0.5
code__a__322 0.5 0.25 -0.5 0.75 1
code__a__323 0.5 0.25 -0.5 0.75 1.5
code__a__324 0.5 0.25 -0.5 1.25 0.5
code__a__325 0.5 0.25 -0.5 1.25 1
code__a__326 0.5 0.25 -0.5 1.25 1.5
code__a__327 0.5 0.25 0 0.75 0.5
code__a__328 0.5 0.25 0 0.75 1
code__a__329 0.5 0.25 0 0.75 1.5
code__a__330 0.5 0.25 0 1.25 0.5
code__a__331 0.5 0.25 0 1.25 1
code__a__332 0.5 0.25 0 1.25 1.5
code__a__333 0.5 0.25 0.5 0.75 0.5
code__a__334 0.5 0.25 0.5 0.75 1
code__a__335 0.5 0.25 0.5 0.75 1.5
code__a__336 0.5 0.25 0.5 1.25 0.5
code__a__337 0.5 0.25 0.5 1.25 1
code__a__338 0.5 0.25 0.5 1.25 1.5
code__a__339 0.5 0.25 1 0.75 0.5
code__a__340 0.5 0.25 1 0.75 1
code__a__341 0.5 0.25 1 0.75 1.5
code__a__342 0.5 0.25 1 1.25 0.5
code__a__343 0.5 0.25 1 1.25 1
code__a__344 0.5 0.25 1 1.25 1.5
code__a__345 0.5 0.5 -1 0.75 0.5
code__a__346 0.5 0.5 -1 0.75 1
code__a__347 0.5 0.5 -1 0.75 1.5
code__a__348 0.5 0.5 -1 1.25 0.5
code__a__349 0.5 0.5 -1 1.25 1
code__a__350 0.5 0.5 -1 1.25 1.5
code__a__351 0.5 0.5 -0.5 0.75 0.5
code__a__352 0.5 0.5 -0.5 0.75 1
code__a__353 0.5 0.5 -0.5 0.75 1.5
code__a__354 0.5 0.5 -0.5 1.25 0.5
code__a__355 0.5 0.5 -0.5 1.25 1
code__a__356 0.5 0.5 -0.5 1.25 1.5
code__a__357 0.5 0.5 0 0.75 0.5
