output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap degree_day_factor ref_pot_et_factor
code__a__27 1 -0.25 -0.5 0.75 1 0.75
code__a__28 1 -0.25 -0.5 0.75 1 1.25
code__a__29 1 -0.25 -0.5 1 1 0.75
code__a__30 1 -0.25 -0.5 1 1 1.25
code__a__31 1 -0.25 -0.5 1.25 1 0.75
code__a__32 1 -0.25 -0.5 1.25 1 1.25
code__a__33 1 -0.25 0 0.75 1 0.75
code__a__34 1 -0.25 0 0.75 1 1.25
code__a__35 1 -0.25 0 1 1 0.75
code__a__36 1 -0.25 0 1 1 1.25
code__a__37 1 -0.25 0 1.25 1 0.75
code__a__38 1 -0.25 0 1.25 1 1.25
code__a__39 1 -0.25 0.5 0.75 1 0.75
code__a__40 1 -0.25 0.5 0.75 1 1.25
code__a__41 1 -0.25 0.5 1 1 0.75
code__a__42 1 -0.25 0.5 1 1 1.25
code__a__43 1 -0.25 0.5 1.25 1 0.75
code__a__44 1 -0.25 0.5 1.25 1 1.25
code__a__45 1 0 -0.5 0.75 1 0.75
code__a__46 1 0 -0.5 0.75 1 1.25
code__a__47 1 0 -0.5 1 1 0.75
code__a__48 1 0 -0.5 1 1 1.25
code__a__49 1 0 -0.5 1.25 1 0.75
code__a__50 1 0 -0.5 1.25 1 1.25
code__a__51 1 0 0 0.75 1 0.75
code__a__52 1 0 0 0.75 1 1.25
code__a__53 1 0 0 1 1 0.75
code__a__54 1 0 0 1 1 1.25
code__a__55 1 0 0 1.25 1 0.75
code__a__56 1 0 0 1.25 1 1.25
code__a__57 1 0 0.5 0.75 1 0.75
code__a__58 1 0 0.5 0.75 1 1.25
code__a__59 1 0 0.5 1 1 0.75
code__a__60 1 0 0.5 1 1 1.25
code__a__61 1 0 0.5 1.25 1 0.75
code__a__62 1 0 0.5 1.25 1 1.25
code__a__63 1 0.25 -0.5 0.75 1 0.75
code__a__64 1 0.25 -0.5 0.75 1 1.25
code__a__65 1 0.25 -0.5 1 1 0.75
code__a__66 1 0.25 -0.5 1 1 1.25
code__a__67 1 0.25 -0.5 1.25 1 0.75
code__a__68 1 0.25 -0.5 1.25 1 1.25
code__a__69 1 0.25 0 0.75 1 0.75
code__a__70 1 0.25 0 0.75 1 1.25
code__a__71 1 0.25 0 1 1 0.75
code__a__72 1 0.25 0 1 1 1.25
code__a__73 1 0.25 0 1.25 1 0.75
code__a__74 1 0.25 0 1.25 1 1.25
code__a__75 1 0.25 0.5 0.75 1 0.75
code__a__76 1 0.25 0.5 0.75 1 1.25
code__a__77 1 0.25 0.5 1 1 0.75
code__a__78 1 0.25 0.5 1 1 1.25
code__a__79 1 0.25 0.5 1.25 1 0.75
code__a__80 1 0.25 0.5 1.25 1 1.25
